CDG,,PUS
CXR,,HND
SYD,,PNH
DIN,,REP
VTE,,CDG
DLI,,BKK
MEL,,KHH
FUK,,DAD
NCE,,HAN
VCA,,PUS
LPQ,,VCL
BMV,,BKK
AMS,,PNH
PUS,,RGN
KIX,,SGN
BKK,,CXR
DLI,,KUL
RGN,,PQC
BMV,,RGN
HUI,,REP
CDG,,SIN
CXR,,FRA
SIN,,FRA
SGN,,VKG
NRT,,DAD
DAD,,VII
LHR,,PNH
TBB,,PNH
DAD,,PNH
VII,,DAD
BKK,,THD
HAN,,PEK
PUS,,BKK
ROM,,SGN
NGO,,PNH
NRT,,LPQ
VDH,,PNH
CGK,,HUI
DLI,,SYD
HUI,,KUL
SGN,,THD
SYD,,KIX
CTU,,VDH
REP,,HUI
REP,,KHH
KUL,,HUI
THD,,SIN
MNL,,VDH
MEL,,DLI
MEL,,HAN
SGN,,PHL
SIN,,BMV
HAN,,DTW
HOU,,SGN
SGN,,CXR
RGN,,SGN
PQC,,KHH
VCA,,SIN
VTE,,ICN
CDG,,LPQ
VII,,HKG
SIN,,TPE
SYD,,HAN
BKK,,DAD
HAN,,HNL
BMV,,DAD
HND,,CDG
KUL,,TPE
PEK,,FRA
GVA,,HAN
NGO,,CDG
BKK,,BMV
VTE,,FRA
HAN,,TLS
LHR,,SYD
CDG,,CXR
NRT,,DLI
PUS,,REP
SYD,,ICN
LHR,,MEL
SGN,,ATL
KUL,,KHH
VTE,,HAN
RGN,,TBB
MNL,,DLI
LPQ,,PUS
REP,,FRA
ICN,,KUL
NGO,,HAN
PEK,,UIH
ICN,,DME
PDX,,SGN
DLI,,PUS
MIL,,HAN
SIN,,HND
PXU,,DAD
SGN,,SIN
PQC,,HND
HAN,,DLI
SIN,,CXR
MAD,,HAN
UIH,,SGN
HAN,,STL
DAD,,CDG
MNL,,HPH
BKK,,TBB
SGN,,DTW
BOS,,HAN
HND,,HAN
CTU,,DME
HAN,,VDH
TPE,,NGO
SIN,,KHH
FUK,,CAN
PNH,,KIX
PVG,,MEL
VCA,,PEK
VCA,,PQC
DME,,REP
CDG,,PQC
CDG,,PEK
PQC,,LPQ
SGN,,VCL
LPQ,,SGN
SGN,,PUS
REP,,BMV
CGK,,DLI
HUI,,SGN
KUL,,FRA
HKG,,RGN
LAX,,TPE
SIN,,UIH
VTE,,MNL
TBB,,HAN
SYD,,CDG
KIX,,PQC
MEL,,HUI
TPE,,REP
BKK,,HKG
HKG,,DAD
MNL,,LHR
UIH,,BKK
FRA,,KIX
HND,,VCS
VCA,,REP
FUK,,VCS
SGN,,VDH
HAN,,PHL
MEL,,CDG
VTE,,PNH
SIN,,VTE
HUI,,FUK
REP,,KIX
CDG,,HKG
HUI,,PUS
CDG,,DAD
CXR,,PNH
BMV,,CAN
VTE,,VII
BMV,,SGN
SIN,,HKG
KIX,,RGN
TPE,,SFO
MNL,,BMV
HAN,,LHR
PVG,,SYD
REP,,TPE
SGN,,SEA
BKK,,TPE
CAN,,VCA
MNL,,TBB
VII,,REP
TPE,,LAX
DAD,,ICN
SYD,,PVG
TBB,,MNL
FRA,,TPE
PEK,,BMV
AMS,,MNL
MNL,,VKG
JFK,,HAN
BKK,,FRA
DAD,,KUL
DAD,,HAN
LHR,,KUL
VDH,,KUL
FRA,,HND
IAD,,HAN
NGO,,KUL
VCS,,SGN
VKG,,RGN
SGN,,GVA
RGN,,VCL
KHH,,DLI
BKK,,UIH
DFW,,HAN
HAN,,NGO
KHH,,NGO
DME,,TPE
LHR,,MNL
AMS,,HAN
